scoring_3rd,scoring_4th,pace,efg_per,tov_per,orb_per,result
28.0,17.0,90.5,0.425,14.4,21.1,0
18.0,30.0,90.5,0.519,10.0,23.8,1
12.0,23.0,94.8,0.39,17.7,22.9,0
24.0,16.0,94.8,0.41,12.1,20.0,1
27.0,17.0,98.5,0.484,12.5,21.4,0
22.0,25.0,98.5,0.457,14.4,26.8,1
24.0,23.0,93.9,0.456,16.1,34.5,1
27.0,25.0,93.9,0.488,14.2,14.0,0
17.0,28.0,86.4,0.475,15.4,50.0,1
21.0,22.0,86.4,0.5,16.6,31.6,0
24.0,21.0,91.3,0.476,15.4,37.0,1
21.0,24.0,91.3,0.39,12.1,27.1,0
26.0,21.0,97.2,0.39,12.3,26.8,0
24.0,17.0,97.2,0.451,12.1,29.2,1
21.0,25.0,92.3,0.507,19.5,26.7,1
26.0,22.0,92.3,0.379,9.0,26.9,0
16.0,17.0,89.7,0.457,12.5,28.6,0
20.0,19.0,89.7,0.521,11.0,20.0,1
30.0,19.0,85.6,0.53,9.9,29.5,1
16.0,16.0,85.6,0.478,14.2,12.2,0
29.0,18.0,91.2,0.476,10.4,27.3,0
22.0,33.0,91.2,0.524,7.9,20.0,1
19.0,24.0,89.7,0.466,16.7,41.3,0
18.0,22.0,89.7,0.484,11.4,20.4,1
26.0,30.0,94.7,0.636,16.6,20.0,1
26.0,26.0,94.7,0.552,12.4,2.8,0
21.0,23.0,93.3,0.519,13.6,24.3,0
22.0,23.0,93.3,0.436,10.9,25.0,1
23.0,25.0,88.8,0.384,6.8,21.6,0
21.0,24.0,88.8,0.483,14.8,34.9,1
26.0,31.0,94.4,0.604,13.9,13.9,0
35.0,30.0,94.4,0.571,12.1,25.6,1
20.0,27.0,83.0,0.494,8.2,31.1,0
33.0,28.0,83.0,0.58,15.3,36.4,1
19.0,24.0,98.1,0.411,11.9,31.4,0
24.0,27.0,98.1,0.48,20.8,23.8,1
27.0,23.0,83.7,0.457,8.0,33.3,0
32.0,22.0,83.7,0.516,7.1,34.7,1
29.0,25.0,93.7,0.445,8.8,27.6,0
25.0,27.0,93.7,0.523,13.0,27.9,1
25.0,32.0,94.2,0.5,18.1,33.3,1
15.0,21.0,94.2,0.438,13.0,32.7,0
20.0,33.0,90.7,0.468,11.5,34.7,0
17.0,26.0,90.7,0.525,16.5,30.0,1
8.0,18.0,93.9,0.347,12.9,22.8,0
26.0,19.0,93.9,0.464,13.3,20.5,1
27.0,16.0,90.0,0.435,18.4,31.7,0
32.0,25.0,90.0,0.643,13.3,26.9,1
28.0,28.0,95.2,0.538,19.6,15.8,0
31.0,40.0,95.2,0.586,15.0,25.0,1
20.0,35.0,95.2,0.506,15.2,22.2,0
29.0,31.0,95.2,0.544,14.2,20.0,1
16.0,13.0,81.8,0.431,18.1,41.5,0
23.0,23.0,81.8,0.5,15.6,28.2,1
23.0,21.0,97.0,0.609,20.0,19.4,1
23.0,17.0,97.0,0.422,12.1,17.1,0
17.0,21.0,93.4,0.481,13.7,22.2,0
31.0,24.0,93.4,0.506,10.2,22.9,1
25.0,22.0,87.3,0.449,11.0,22.5,0
25.0,19.0,87.3,0.487,13.5,34.9,1
23.0,23.0,99.6,0.529,14.0,13.6,0
32.0,27.0,99.6,0.596,12.1,31.4,1
25.0,31.0,92.9,0.506,9.7,16.7,1
25.0,20.0,92.9,0.451,11.4,38.0,0
21.0,28.0,86.7,0.527,17.6,29.7,0
26.0,24.0,86.7,0.547,14.5,43.3,1
25.0,28.0,90.1,0.471,11.5,41.5,0
31.0,32.0,90.1,0.569,16.9,36.4,1
28.0,22.0,86.9,0.596,17.3,19.4,0
30.0,26.0,86.9,0.55,9.2,22.2,1
23.0,17.0,89.3,0.429,12.9,38.6,0
31.0,22.0,89.3,0.609,12.3,16.7,1
27.0,22.0,89.1,0.563,13.0,18.8,0
21.0,31.0,89.1,0.452,10.1,40.5,1
19.0,33.0,92.8,0.48,14.0,18.4,0
34.0,19.0,92.8,0.553,17.2,21.1,1
24.0,26.0,104.0,0.561,16.4,26.8,1
27.0,24.0,104.0,0.424,13.0,15.3,0
23.0,11.0,88.7,0.413,9.6,23.9,0
23.0,26.0,88.7,0.462,12.5,31.7,1
20.0,29.0,91.0,0.532,9.7,25.0,0
29.0,33.0,91.0,0.587,17.4,29.0,1
20.0,21.0,87.9,0.415,14.6,40.0,1
17.0,17.0,87.9,0.449,8.9,22.7,0
35.0,13.0,86.9,0.477,10.3,36.7,1
30.0,19.0,86.9,0.533,13.2,33.3,0
19.0,22.0,86.4,0.475,15.6,42.5,0
32.0,25.0,86.4,0.581,13.7,40.0,1
22.0,20.0,88.6,0.482,14.7,12.5,1
21.0,20.0,88.6,0.398,14.7,34.0,0
20.0,15.0,89.0,0.481,16.0,22.5,0
24.0,28.0,89.0,0.451,10.6,40.5,1
20.0,23.0,88.4,0.424,13.0,31.9,0
32.0,19.0,88.4,0.567,14.3,26.5,1
28.0,28.0,92.4,0.532,17.8,27.0,0
22.0,35.0,92.4,0.589,10.6,26.3,1
22.0,22.0,95.0,0.481,11.7,34.7,1
34.0,20.0,95.0,0.517,15.5,22.7,0
34.0,26.0,91.2,0.494,11.6,25.0,0
34.0,24.0,91.2,0.537,8.1,15.8,1
20.0,19.0,92.7,0.466,9.0,13.7,1
21.0,18.0,92.7,0.391,9.1,27.4,0
20.0,17.0,81.3,0.424,12.8,34.7,0
23.0,16.0,81.3,0.456,10.8,35.3,1
23.0,30.0,86.3,0.476,11.4,33.3,1
30.0,12.0,86.3,0.469,14.5,37.8,0
24.0,28.0,91.4,0.459,10.0,32.7,0
28.0,26.0,91.4,0.581,15.1,32.4,1
30.0,24.0,87.2,0.613,15.6,22.6,1
26.0,28.0,87.2,0.582,14.3,21.6,0
22.0,9.0,80.5,0.434,16.2,37.8,0
20.0,22.0,80.5,0.493,15.1,27.0,1
19.0,26.0,88.9,0.329,11.0,19.6,0
24.0,26.0,88.9,0.596,13.7,25.7,1
19.0,19.0,88.1,0.582,16.3,41.9,0
30.0,21.0,88.1,0.513,11.4,34.2,1
32.0,26.0,90.7,0.644,14.5,28.6,1
22.0,22.0,90.7,0.433,9.3,31.3,0
34.0,20.0,93.1,0.506,14.7,18.4,1
27.0,19.0,93.1,0.369,16.1,30.4,0
28.0,22.0,94.0,0.535,14.9,25.0,0
38.0,18.0,94.0,0.608,13.2,30.0,1
21.0,18.0,96.7,0.392,15.8,19.6,1
24.0,20.0,96.7,0.355,16.7,27.3,0
17.0,25.0,92.1,0.488,14.2,25.0,0
22.0,25.0,92.1,0.507,16.0,31.7,1
27.0,22.0,93.4,0.494,15.8,30.0,1
22.0,22.0,93.4,0.476,12.6,17.0,0
20.0,26.0,88.8,0.474,15.7,23.7,0
28.0,23.0,88.8,0.467,8.5,29.4,1
19.0,25.0,91.0,0.463,12.9,34.7,1
17.0,28.0,91.0,0.433,16.6,19.5,0
16.0,20.0,88.7,0.37,13.5,24.4,0
19.0,24.0,88.7,0.536,18.5,34.5,1
16.0,17.0,93.1,0.378,17.3,27.1,0
26.0,36.0,93.1,0.605,11.6,23.5,1
22.0,18.0,88.8,0.415,15.6,46.7,0
19.0,25.0,88.8,0.481,9.8,26.2,1
14.0,21.0,90.7,0.426,16.7,17.1,0
33.0,22.0,90.7,0.525,11.5,31.6,1
30.0,14.0,90.0,0.555,14.3,20.5,1
22.0,18.0,90.0,0.493,17.3,14.3,0
31.0,24.0,88.1,0.54,16.7,18.8,1
